구분,2010.01 월,2010.02 월,2010.03 월,2010.04 월,2010.05 월,2010.06 월,2010.07 월,2010.08 월,2010.09 월,2010.10 월,2010.11 월,2010.12 월,2011.01 월,2011.02 월,2011.03 월,2011.04 월,2011.05 월,2011.06 월,2011.07 월,2011.08 월,2011.09 월,2011.10 월,2011.11 월,2011.12 월,2012.01 월,2012.02 월,2012.03 월,2012.04 월,2012.05 월,2012.06 월,2012.07 월,2012.08 월,2012.09 월,2012.10 월,2012.11 월,2012.12 월,2013.01 월,2013.02 월,2013.03 월,2013.04 월,2013.05 월,2013.06 월,2013.07 월,2013.08 월,2013.09 월,2013.10 월,2013.11 월,2013.12 월,2014.01 월,2014.02 월,2014.03 월,2014.04 월,2014.05 월,2014.06 월,2014.07 월,2014.08 월,2014.09 월,2014.10 월,2014.11 월,2014.12 월,2015.01 월,2015.02 월,2015.03 월,2015.04 월,2015.05 월,2015.06 월,2015.07 월,2015.08 월,2015.09 월,2015.10 월,2015.11 월,2015.12 월,2016.01 월,2016.02 월,2016.03 월,2016.04 월,2016.05 월,2016.06 월,2016.07 월,2016.08 월,2016.09 월,2016.10 월,2016.11 월,2016.12 월,2017.01 월,2017.02 월,2017.03 월,2017.04 월,2017.05 월,2017.06 월,2017.07 월,2017.08 월,2017.09 월,2017.10 월,2017.11 월,2017.12 월,2018.01 월,2018.02 월,2018.03 월,2018.04 월,2018.05 월,2018.06 월,2018.07 월,2018.08 월,2018.09 월,2018.10 월,2018.11 월,2018.12 월,2019.01 월,2019.02 월,2019.03 월,2019.04 월,2019.05 월,2019.06 월,2019.07 월,2019.08 월,2019.09 월,2019.10 월,2019.11 월,2019.12 월,2020.01 월,2020.02 월,2020.03 월,2020.04 월,2020.05 월,2020.06 월,2020.07 월,2020.08 월,2020.09 월,2020.10 월,2020.11 월,2020.12 월,2021.01 월,2021.02 월,2021.03 월,2021.04 월,2021.05 월,2021.06 월,2021.07 월,2021.08 월,2021.09 월,2021.10 월,2021.11 월,2021.12 월,2022.01 월,2022.02 월,2022.03 월,2022.04 월,2022.05 월,2022.06 월,2022.07 월,2022.08 월,2022.09 월,2022.10 월,2022.11 월
마산,0.016,0.018,0.022,0.026,0.034,0.034,0.019,0.02,0.021,0.022,0.017,0.016,0.022,0.02,0.031,0.036,0.032,0.032,0.022,0.024,0.031,0.023,0.014,0.018,0.021,0.022,0.029,0.03,0.042,0.031,0.025,0.021,0.025,0.022,0.019,0.016,0.019,0.021,0.029,0.035,0.034,0.024,0.02,0.027,0.03,0.025,0.019,0.017,0.018,0.023,0.029,0.037,0.047,0.035,0.028,0.025,0.028,0.026,0.018,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서귀포,0.04,0.042,0.052,0.057,0.054,0.045,0.035,0.033,0.04,0.053,0.048,0.034,0.037,0.047,0.052,0.061,0.054,0.043,0.027,0.034,0.043,0.045,0.035,0.028,0.03,0.034,0.045,0.051,0.057,0.043,0.026,0.024,0.04,0.042,0.03,0.025,0.028,0.026,0.029,0.034,0.039,0.04,0.025,0.03,0.039,0.036,0.04,0.033,0.033,0.043,0.048,0.05,0.054,0.045,0.031,0.033,0.042,0.036,0.029,0.038,0.04,0.05,0.049,0.053,0.047,0.041,0.024,0.025,0.033,0.041,0.032,0.027,0.027,0.037,0.037,0.043,0.051,0.031,0.022,0.031,0.035,0.03,0.039,0.031,0.012,0.037,0.011,0.052,0.051,0.044,0.02,0.017,0.044,0.041,0.038,0.033,0.033,0.04,0.044,0.047,0.046,0.041,0.022,0.027,0.04,0.043,0.045,0.038,0.04,0.043,0.054,0.052,0.061,0.047,0.035,0.038,0.04,0.04,0.041,0.038,0.039,0.042,0.047,0.056,0.047,0.041,0.034,0.021,0.046,0.046,0.038,0.037,0.039,0.045,0.048,0.054,0.052,0.046,0.028,0.035,0.042,0.046,0.048,0.04,0.041,0.048,0.051,0.052,0.055,0.04,0.037,0.033,0.042,0.044,0.044
성남,0.01,0.015,0.022,0.023,0.029,0.029,0.022,0.017,0.015,0.013,0.013,0.009,0.011,0.012,0.025,0.029,0.03,0.035,0.02,0.021,0.022,0.014,0.013,0.01,0.01,0.015,0.025,0.028,0.034,0.037,0.024,0.024,0.02,0.016,0.012,0.01,0.011,0.015,0.021,0.031,0.035,0.034,0.024,0.025,0.02,0.015,0.011,0.008,0.008,0.015,0.024,0.027,0.039,0.034,0.031,0.024,0.021,0.016,0.012,0.01,0.01,0.016,0.02,0.026,0.032,0.037,0.027,0.027,0.023,0.016,0.011,0.008,0.011,0.016,0.021,0.029,0.039,0.034,0.024,0.029,0.025,0.016,0.013,0.009,0.041,0.016,0.043,0.032,0.035,0.037,0.024,0.02,0.024,0.016,0.013,0.011,0.012,0.018,0.027,0.034,0.036,0.038,0.026,0.028,0.024,0.015,0.01,0.011,0.011,0.017,0.028,0.03,0.045,0.04,0.032,0.029,0.021,0.018,0.011,0.01,0.013,0.017,0.027,0.038,0.035,0.047,0.03,0.02,0.027,0.02,0.014,0.014,0.015,0.023,0.026,0.038,0.036,0.042,0.036,0.033,0.031,0.022,0.017,0.013,0.014,0.026,0.028,0.042,0.046,0.038,0.037,0.031,0.031,0.022,0.017
정선,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.032,0.044,0.044,0.06,0.046,0.033,0.031,0.025,0.029,0.024,0.024,0.026,0.032,0.044,0.052,0.045,0.053,0.03,0.025,0.034,0.03,0.029,0.028,0.03,0.037,0.041,0.047,0.041,0.041,0.029,0.027,0.029,0.026,0.026,0.025,0.028,0.04,0.039,0.05,0.056,0.042,0.028,0.027,0.026,0.023,0.025
청주,0.013,0.017,0.027,0.029,0.04,0.038,0.024,0.022,0.018,0.016,0.013,0.011,0.013,0.015,0.027,0.037,0.04,0.044,0.021,0.022,0.021,0.015,0.014,0.01,0.012,0.016,0.026,0.035,0.043,0.04,0.027,0.026*,0.027,0.019,0.014,0.012,0.012,0.02,0.028,0.039,0.043,0.044,0.030*,0.029,0.025,0.018,0.012,0.01,0.009*,0.019,0.026,0.035,0.049,0.043,0.034,0.026,0.026,0.02,0.012,0.012,0.012,0.019,0.025,0.029,0.041,0.046,0.03,0.029,0.029,0.022,0.013,0.009,0.013,0.019,0.024,0.037,0.045,0.043,0.03,0.032,0.027,0.018,0.013,0.011,0.026,0.021,0.024,0.039,0.043,0.05,0.03,0.026,0.029,0.021,0.015,0.013,0.015,0.023,0.034,0.037,0.04,0.041,0.026,0.028,0.029,0.019,0.012,0.012,0.013,0.02,0.034,0.034,0.048,0.043,0.029,0.03,0.026,0.022,0.015,0.011,0.016,0.022,0.03,0.042,0.039,0.04,0.027,0.02,0.029,0.024,0.018,0.015,0.018,0.027,0.032,0.044,0.041,0.046,0.031,0.031,0.03,0.023,0.019,0.016,0.017,0.028,0.03,0.043,0.051,0.041,0.035,0.027,0.03,0.025,0.019
서산,0.023,0.027,0.033,0.038,0.045,0.042,0.026,0.02,0.025,0.026,0.024,0.02,0.023,0.023,0.031,0.035,0.036,0.035,0.022,0.024,0.025,0.021,0.02,0.019,0.022,0.025,0.033,0.037,0.042,0.035,0.024,0.026,0.029,0.025,0.021,0.018,0.022,0.026,0.034,0.041,0.043,0.038,0.032,0.033,0.03,0.025,0.02,0.018,0.019,0.023,0.036,0.037,0.05,0.04,0.033,0.03,0.033,0.027,0.025*,0.019,0.02,0.027,0.03,0.036,0.042,0.043,0.037,0.035,0.035,0.025,0.016,0.015,0.02,0.025,0.034,0.042,0.057,0.051,0.033,0.035,0.035,0.026,0.023,0.019,0.028,0.027,0.028,0.042,0.045,0.043,0.035,0.033,0.041,0.029,0.022,0.018,0.021,0.031,0.04,0.043,0.046,0.046,0.025,0.035,0.035,0.028,0.023,0.023,0.026,0.031,0.041,0.041,0.058,0.048,0.039,0.041,0.032,0.032,0.025,0.024,0.024,0.03,0.039,0.047,0.046,0.05,0.037,0.027,0.04,0.037*,0.029,0.028,0.026,0.036,0.04,0.049,0.051,0.052,0.043,0.041,0.038,0.036,0.032,0.026,0.027,0.037,0.04,0.05,0.058,0.045,0.044,0.038,0.039,0.033,0.03
군산,0.018,0.023,0.031,0.034,0.038,0.037,0.02,0.019,0.025,0.026,0.02,0.018,0.019,0.021,0.032,0.034,0.034,0.033,0.017,0.021,0.023,0.022,0.019,0.016,0.018,0.019,0.028,0.032,0.042,0.038,0.027,0.027,0.036,0.026,0.022,0.019,0.02,0.027,0.033,0.039,0.039,0.042,0.029,0.029,0.031,0.025,0.018,0.015,0.015,0.023,0.031,0.038,0.048,0.045,0.035,0.031,0.036,0.028,0.02,0.018*,0.018,0.026,0.031,0.033,0.039,0.042,0.033,0.033,0.033,0.028,0.017,0.014,0.019,0.024,0.03,0.037,0.048,0.045,0.03,0.036,0.034,0.025,0.02,0.018,0.018,0.03,0.019,0.042,0.045,0.047,0.032,0.032,0.039,0.029,0.021,0.018,0.02,0.027,0.032,0.035,0.04,0.042,0.022,0.029,0.03,0.028,0.02,0.02,0.022,0.03,0.038,0.039,0.051,0.044,0.033,0.036,0.032,0.031,0.022,0.018,0.023,0.027,0.037,0.044,0.046,0.053,0.038,0.027,0.04,0.035,0.026,0.023,0.026,0.035,0.039,0.047,0.047,0.049,0.035,0.035,0.034,0.033,0.029,0.024,0.026,0.036,0.038,0.046,0.054,0.043,0.042,0.033,0.039,0.033,0.029
광양,0.023,0.025,0.029,0.037,0.039,0.037,0.019,0.016,0.021,0.03,0.022,0.021,0.026,0.024,0.034,0.041,0.034,0.031,0.021,0.026,0.029,0.03,0.023,0.02,0.023,0.027,0.038,0.04,0.039,0.028,0.019,0.02,0.026,0.027,0.023,0.021,0.023,0.025,0.039,0.046,0.045,0.035,0.024,0.026,0.031,0.03,0.024,0.022,0.022,0.03,0.035,0.04,0.046,0.035,0.026,0.024,0.029,0.027,0.021,0.02,0.02,0.027,0.031,0.036,0.036,0.026,0.022,0.023,0.036,0.034,0.023,0.019,0.025,0.031,0.033,0.038,0.043,0.031,0.023,0.032,0.027,0.025,0.024,0.02,0.013,0.028,0.017,0.044,0.041,0.038,0.023,0.027,0.033,0.027,0.023,0.022,0.022,0.028*,0.034*,0.036*,0.036,0.035,0.023,0.025,0.027,0.024*,0.019*,0.019*,0.022*,0.03,0.043,0.04,0.05,0.045,0.031,0.03,0.028,0.03,0.026,0.023,0.025,0.03,0.034,0.042,0.036,0.037,0.027,0.022,0.033,0.032,0.023,0.021,0.024,0.03,0.032,0.04,0.039,0.038,0.025,0.027*,0.031*,0.028*,0.027*,0.023*,0.025,0.036,0.036,0.037,0.044,0.03,0.029,0.021,0.03,0.031,0.027
의성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025**,0.027,0.035,0.047,0.043,0.049,0.029,0.022,0.029,0.027,0.018,0.014,0.021,0.03,0.035,0.044,0.038,0.04,0.026,0.027,0.025,0.022,0.019,0.018,0.022,0.035,0.037,0.045,0.055,0.043,0.035,0.026,0.026,0.025,0.023
진주,0.014,0.018,0.023,0.027,0.033,0.036,0.023,0.02*,0.022*,0.023,0.013,0.013,0.021,0.018,0.027,0.03,0.03,0.03,0.021,0.024*,0.028*,0.023,0.017,0.017,0.02,0.022,0.03,0.037,0.042,0.039,0.03,0.027,0.03,0.024,0.019,0.02,0.021,0.025,0.033,0.039,0.042,0.04,0.028,0.038,0.034,0.03,0.018,0.018,0.02,0.028,0.03,0.04,0.053,0.04,0.03,0.029,0.029,0.025,0.017,0.018,0.018,0.021,0.027,0.035,0.047,0.044,0.034,0.034,0.031,0.024,0.02,0.016,0.019,0.023,0.03,0.038,0.043,0.036,0.029,0.041,0.035,0.025,0.019,0.016,0.02,0.028,0.019,0.045,0.048,0.05,0.04,0.036,0.037,0.03,0.021,0.02,0.022,0.026,0.032,0.04,0.043,0.05,0.034,0.033,0.033,0.023,0.016,0.021,0.021,0.027,0.037,0.038,0.049,0.046,0.035,0.034,0.03,0.026,0.019,0.018,0.019,0.025,0.034,0.043,0.043,0.046,0.031,0.026,0.035,0.031*,0.024*,0.022,0.024,0.029,0.034,0.041*,0.040*,0.043*,0.029**,0.030*,0.03,0.027,0.019,0.018,0.021,0.034,0.036,0.043,0.054,0.04,0.036,0.030*,0.031*,0.028,0.023
도평균,0.036,0.04,0.046,0.049,0.044,0.041,0.031,0.025,0.035,0.045,0.037,0.03,0.034,0.042,0.048,0.055,0.049,0.039,0.025,0.03,0.038,0.037,0.032,0.027,0.029,0.034,0.042,0.044,0.052,0.042,0.025,0.022,0.037,0.039,0.031,0.028,0.031,0.031,0.037,0.042,0.043,0.036,0.026,0.027,0.036,0.035,0.033,0.029,0.031,0.037,0.043,0.047,0.052,0.043,0.029,0.036,0.037,0.035,0.029,0.029,0.031,0.04,0.041,0.046,0.044,0.038,0.027,0.028,0.039,0.045,0.031,0.028,0.03,0.039,0.039,0.04,0.046,0.03,0.021,0.031,0.035,0.032,0.034,0.032,0.013,0.04,0.014,0.055,0.054,0.044,0.026,0.030*,0.047,0.041,0.035,0.033,0.033,0.038,0.042,0.043,0.045,0.042,0.022,0.028,0.044,0.046,0.045,0.037,0.039,0.043,0.054,0.052,0.062,0.048,0.035,0.039,0.041,0.042,0.041,0.036,0.037,0.041,0.044,0.053,0.046,0.04,0.034,0.021,0.046,0.046,0.037,0.035,0.038,0.044,0.047,0.053,0.051,0.045,0.029,0.034,0.04,0.044,0.046,0.039,0.04,0.046,0.049,0.048,0.052,0.038,0.036,0.032,0.04,0.042,0.042
의정부,0.013,0.017,0.026,0.031,0.035,0.039,0.024,0.02,0.017,0.016,0.013,0.011,0.016,0.017,0.032,0.034,0.034,0.038,0.02,0.02,0.026,0.017,0.013,0.012,0.013,0.018,0.026,0.029,0.037,0.039,0.022,0.022,0.019,0.016,0.012,0.012,0.012,0.019,0.028,0.034,0.038,0.039,0.024,0.026,0.02,0.015,0.013,0.009,0.012,0.019,0.028,0.033,0.044,0.037,0.034,0.027,0.025,0.016,0.012,0.012,0.013,0.019,0.025,0.033,0.042,0.048,0.034,0.033,0.025,0.02,0.012,0.009,0.013,0.019,0.026,0.033,0.043,0.04,0.027,0.029,0.026,0.018,0.013,0.01,0.032,0.019,0.032,0.037,0.043,0.045,0.033,0.026,0.022,0.014,0.011,0.012,0.018,0.029,0.036,0.046,0.043,0.044,0.026,0.032,0.029,0.017,0.012,0.013,0.014,0.022,0.031,0.038,0.052,0.044,0.036,0.032,0.023,0.02,0.013,0.012,0.014,0.02,0.03,0.041,0.041,0.046,0.032,0.021,0.026,0.021,0.013,0.012,0.013,0.021,0.031,0.042,0.04,0.044,0.039,0.033,0.029,0.02,0.017,0.014,0.017,0.028,0.03,0.043,0.049,0.038,0.034,0.029,0.025,0.019,0.015
횡성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.016,0.015,0.026,0.038,0.051,0.038,0.028,0.026,0.02,0.018,0.013,0.009,0.014,0.019,0.027,0.033,0.032,0.041,0.025,0.019,0.023,0.019,0.014,0.012,0.015,0.023,0.029,0.036,0.033,0.034,0.028,0.025,0.024,0.019,0.017,0.015,0.016,0.03,0.033,0.047,0.052,0.043,0.032,0.029,0.028,0.021,0.02
충주,0.011,0.016,0.028,0.03,0.039,0.039,0.023,0.023,0.02,0.016,0.014,0.012,0.013,0.016,0.032,0.038,0.039,0.047,0.024,0.024,0.024,0.015,0.014,0.011,0.012,0.018,0.029,0.033,0.04,0.038,0.026,0.022,0.024,0.018,0.015,0.013,0.015,0.023,0.03,0.039,0.049,0.045,0.03,0.032,0.023,0.019,0.015,0.012,0.012,0.021,0.029,0.038,0.051,0.047,0.037,0.027,0.025,0.017,0.012,0.012,0.009,0.022,0.025,0.032,0.047,0.047,0.029,0.029,0.025,0.02,0.012,0.009,0.013,0.021,0.026,0.038,0.042,0.044,0.029,0.036,0.025,0.018,0.013,0.009,0.031,0.02,0.028,0.04,0.045,0.05,0.033,0.025**,0.026,0.017,0.014,0.011,0.012,0.02,0.03,0.034,0.035,0.04,0.029,0.027,0.026,0.019,0.012,0.012,0.015,0.019,0.029,0.033,0.045,0.034**,0.033,0.028,0.024,0.021,0.015,0.01,0.015,0.022,0.033,0.044,0.038,0.046,0.027,0.021,0.028,0.023,0.019,0.016,0.02,0.028,0.034,0.044,0.038,0.044,0.029,0.029,0.027,0.022,0.023,0.016,0.017,0.029,0.03,0.042,0.05,0.041,0.032,0.027,0.026,0.021,0.018
아산,0.012,0.017,0.026,0.031,0.038,0.036,0.024,0.019,0.017,0.016,0.015,0.013,0.013,0.015,0.027,0.031,0.034,0.035,0.019,0.019,0.019,0.013,0.015,0.012,0.012,0.017,0.028,0.032,0.038,0.036,0.023,0.022,0.023,0.017,0.016,0.012,0.013,0.02,0.028,0.038,0.038,0.029,0.022,0.023,0.022,0.017,0.013,0.008,0.01,0.024,0.027,0.031,0.047,0.039,0.033,0.024,0.024,0.019,0.014,0.012,0.01,0.018,0.021,0.027,0.037,0.039,0.03,0.03,0.026,0.023,0.011,0.009,0.016,0.023,0.025,0.04,0.053,0.051,0.036,0.044,0.034,0.018,0.015,0.012,0.033*,0.021,0.028,0.036,0.046,0.052,0.037,0.033,0.034,0.023,0.018,0.014,0.016,0.022,0.027**,0.035,0.04,0.041,0.025,0.03,0.026,0.019,0.013,0.013,0.015,0.021,0.031,0.031,0.049,0.043,0.032,0.032,0.025,0.021,0.016,0.016,0.017,0.023,0.033,0.042,0.043,0.051,0.037,0.026,0.032,0.025,0.02,0.018,0.019,0.03,0.034,0.045,0.045,0.048,0.039,0.034,0.031,0.025,0.021,0.017,0.018,0.029,0.032,0.043,0.052,0.042,0.041,0.033,0.034,0.027,0.022
익산,0.017,0.021,0.023,0.027,0.035,0.038,0.027,0.023,0.021,0.018,0.017,0.015,0.015,0.017,0.028,0.034,0.035,0.038,0.019,0.023,0.026*,0.021,0.017,0.014,0.016,0.017,0.029,0.035,0.045,0.04,0.032,0.028,0.031,0.022,0.017,0.014,0.014,0.022,0.029,0.039*,0.040*,0.039,0.029,0.032,0.027,0.021,0.014,0.012,0.011,0.016,0.027,0.04,0.051,0.047,0.038,0.033,0.033,0.025,0.019,0.013*,0.013,0.018,0.022,0.028,0.042,0.044,0.033,0.033,0.031,0.028,0.017,0.014,0.02,0.026,0.029,0.04,0.05,0.047,0.04,0.039,0.033,0.021,0.017,0.015,0.023,0.025,0.022,0.04,0.043,0.045,0.033,0.028,0.03,0.022,0.018,0.018,0.021,0.026,0.032,0.035,0.04,0.04,0.028,0.034,0.023,0.018,0.014,0.015,0.019,0.024,0.035,0.034,0.049,0.042,0.03,0.029,0.024,0.023,0.018,0.017*,0.019,0.025,0.032,0.039,0.04,0.047,0.031,0.024,0.036,0.029,0.023,0.019,0.022,0.031*,0.037**,0.044*,0.045*,0.049,0.032,0.034,0.031*,0.028,0.025,0.021,0.022,0.033,0.035,0.042,0.051,0.039,0.037,0.029,0.029,0.027,0.023
순천,0.025,0.024,0.028,0.036,0.04,0.033,0.018,0.016,0.023,0.027,0.022,0.021,0.031,0.028,0.038,0.044,0.038,0.037,0.021,0.022,0.022,0.027,0.019,0.021,0.023,0.026,0.036,0.035,0.036,0.028,0.021,0.02,0.03,0.028,0.023,0.021,0.026,0.028,0.036,0.04,0.042,0.034,0.022,0.024,0.029,0.026,0.026,0.026,0.022,0.028,0.034,0.04,0.043,0.033,0.026,0.024,0.026,0.022,0.02,0.019,0.02,0.026,0.029,0.032,0.04,0.032,0.027,0.03,0.032,0.032,0.021,0.019,0.026,0.032,0.034,0.036,0.042,0.035,0.024,0.036,0.029,0.025,0.023,0.022,0.015,0.035,0.018,0.049,0.049,0.047,0.031,0.034,0.041,0.032*,0.032*,0.030*,0.031,0.034,0.036,0.039,0.038,0.04,0.02,0.024,0.030*,0.031,0.024,0.023,0.032,0.037,0.049,0.045,0.059,0.049,0.036,0.034,0.03,0.031,0.027,0.024,0.03,0.036,0.041,0.053,0.049,0.047,0.033,0.027,0.039,0.036*,0.028*,0.029,0.029,0.04,0.045,0.051,0.05,0.05,0.033,0.034,0.038,0.037,0.033,0.027,0.032,0.044,0.042,0.051,0.06,0.044,0.04,0.032,0.037,0.04,0.032
울릉도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041**,0.042,0.037,0.039,0.039,0.037,0.038,0.043,0.048,0.056,0.053,0.051,0.037,0.036,0.045,0.044,0.04,0.039,0.042,0.049,0.051,0.054,0.055,0.05,0.032,0.041,0.042,0.043,0.042,0.038,0.04,0.047,0.053,0.059,0.067,0.045,0.035,0.04,0.037,0.04,0.043
진해,0.024,0.026,0.035,0.04,0.039,0.037,0.023,0.025,0.031,0.036,0.027,0.02,0.024,0.023,0.032,0.036,0.033,0.038**,**,**,0.030**,0.03,0.021,0.025,0.026,0.027,0.036,0.041,0.047,0.035,0.03,0.028,0.035,0.032,**,**,0.024,0.026,0.035,0.041,0.044,0.038,0.029,0.037,0.039,0.035,0.025,0.021,0.022,0.027,0.031,0.034,0.043,0.033,0.032,0.03,0.033,0.029,0.022,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광명,0.011,0.015,0.022,0.024,0.03,0.032,0.024,0.019,0.015,0.014,0.014,0.011,0.016,0.015,0.03,0.032,0.031,0.035,0.02,0.021,0.022,0.014,0.013,0.011,0.013,0.017,0.028,0.032,0.039,0.04,0.024,0.026,0.022,0.019,0.014,0.011,0.013,0.018,0.025,0.034,0.037,0.033,0.028,0.029,0.023,0.016,0.013,0.01,0.011,0.015,0.028,0.031,0.045,0.039,0.036,0.025,0.023,0.017,0.013,0.012,0.012,0.019,0.024,0.03,0.037,0.041,0.03,0.031,0.026,0.02,0.012,0.01,0.015,0.02,0.027,0.032,0.042,0.039,0.028,0.031,0.027,0.017,0.014,0.01,0.033,0.019,0.037,0.036,0.04,0.04,0.031,0.024,0.027,0.019,0.014,0.012,0.014,0.019,0.027,0.031,0.035,0.035,0.023,0.03,0.026,0.017,0.011,0.012,0.012,0.018,0.028,0.029,0.046,0.038,0.036,0.038,0.026,0.023,0.014,0.013,0.015,0.021,0.031,0.041,0.039,0.05,0.032,0.022,0.029,0.022,0.016,0.016,0.015,0.024,0.026,0.038,0.039,0.043,0.04,0.034,0.032,0.023,0.017,0.015,0.018,0.028,0.029,0.045,0.05,0.04,0.04,0.033,0.034,0.025,0.018
춘천,0.015,0.02,0.029,0.035,0.043,0.04,0.026,0.021,0.018,0.016,0.013,0.013,0.017,0.018,0.031,0.036,0.037,0.046,0.023,0.019,0.024,0.017,0.015,0.013,0.015,0.022,0.033,0.036,0.04,0.041,0.027,0.023,0.019,0.013,0.011,0.012,0.012,0.02,0.025,0.033,0.04,0.039,0.032,0.031,0.024,0.02,0.016,0.012,0.013,0.025,0.035,0.042,0.052,0.045,0.038,0.029,0.024,0.018,0.014,0.014*,0.013,0.02,0.03,0.038,0.048,0.05,0.032,0.033,0.028,0.022,0.017,0.012*,0.016**,0.021**,0.029**,0.043**,0.048**,0.047**,0.031**,0.030**,0.027**,0.020**,0.014**,0.011**,0.023**,0.019,0.018,0.035,0.04,0.052,0.035,0.024,0.025,0.019,0.016,0.013,0.017,0.024,0.034,0.043,0.049,0.049,0.028,0.028,0.025,0.017,0.012,0.011,0.015,0.022,0.032,0.037,0.054,0.044,0.036,0.03,0.023,0.021,0.013,0.013,0.016,0.023,0.032,0.042,0.038,0.049,0.031,0.022,0.027*,0.022*,0.017,0.015,0.019,0.027,0.034,0.041,0.037,0.038,0.03,0.031,0.029,0.021,0.019,0.017,0.019,0.034,0.036,0.051,0.055,0.042,0.031,0.031,0.029,0.029,0.019
제천,0.011,0.014,0.022,0.031,0.035,0.034,0.019,0.015,0.013,0.013,0.012,0.009,0.012,0.013,0.026,0.038,0.036,0.04,0.021,0.018,0.018,0.013,0.011,0.012,0.015,0.02,0.031,0.032,0.034,0.034,0.025,0.022,0.019,0.014,0.013,0.012,0.014,0.02,0.024,0.029,0.039,0.034,0.023,0.023,0.015,**,0.012,0.011,0.011,0.017,0.023,0.033,0.055,0.039,0.034,0.023,0.02,0.016,0.013*,0.012,0.011,0.02,0.034,0.037,0.043,0.041,0.026,0.025,0.021,0.019,0.011,0.009,0.016,0.019,0.023,0.037,0.04,0.04,0.025,0.031,0.021,0.013,0.011,0.009,0.027,0.022,0.027,0.041,0.046,0.046,0.024,0.019,0.021,0.015,0.015,0.013,0.015,0.021,0.033,0.038,0.039,0.037,0.03,0.026,0.024,0.017,0.011,0.011,0.013,0.021,0.033,0.035,0.046,0.037,0.027,0.025,0.018,0.021,0.016,0.011,0.015,0.022,0.031,0.039,0.036,,0.027,0.019,0.024,0.022,0.02,0.019,0.022,0.03,0.033,0.042,0.035,0.038,0.026,0.026,0.025,0.019,0.022,0.018,0.019,0.031,0.032,0.044,0.049,0.037,0.028,0.025,0.021,0.018,0.018
논산,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031,0.028,0.03,0.021,0.016,0.014,0.012,0.014,0.03,0.041,0.044,0.041,0.026,0.031,0.029,0.02,0.015,0.016,0.017,0.023,0.036,0.037,0.053,0.049,0.034,0.033,0.031,0.027,0.02,0.016,0.018,0.019,0.026,0.036,0.038,0.042,0.028,0.023,0.034,0.027,0.021,0.019*,0.023,0.032,0.037,0.047,0.047,0.051,0.035,0.035,0.035,0.028,0.025,0.02,0.021,0.032,0.036,0.043,0.051,0.042,0.037,0.029,0.032,0.027,0.023
남원,0.016,0.019,0.027,0.023,0.02,0.024,0.009,0.01,0.011,0.011,0.01,0.008,0.01,0.012,0.018,0.024,0.022,0.021,0.012,0.012,0.013,0.011,0.01,0.008,0.009,0.011,0.018,0.021,0.027,**,**,0.020*,0.032,0.026,0.021,0.017,0.022,0.027,0.038,0.045,0.05,0.046,0.025,0.029,0.028,0.025,0.019,0.018,0.019,0.03,0.035,0.047,0.054,0.045,0.033,0.029,0.03,0.026,0.019,0.018,0.018,0.027,0.036,0.041,0.051,0.047,0.035,0.03,0.035,0.03,0.018,0.015,0.021,0.029,0.037,0.047,0.053,0.045,0.03,0.038,0.032,0.023,0.018,0.02,0.017,0.036,0.016,0.05,0.052,0.056,0.032,0.031,0.037,0.028,0.022,0.021,0.025,0.03,0.039,0.047,0.048,0.051,0.027,0.029,0.032,0.027,0.019,0.018,0.022,0.03,0.042,0.041,0.056,0.047,0.031,0.027,0.026,0.027,0.021,0.02,0.023,0.031,0.034,0.044,0.042,0.044,0.029,0.021,0.031,0.028,0.022,0.02,0.022,0.029,0.036,0.045,0.045,0.047,0.027,0.029,0.031,0.028,0.026*,0.028,0.03,0.039,0.041,0.046,0.055,0.043,0.035,0.032,0.032,0.032,0.028
